size,zone,r2
26,2022.0_101_Client_AU,0.2879716552160557
27,2022.0_102_Client_AU,0.044018342021106084
20,2022.0_104_Client_AD,0.013350292792682421
29,2022.0_105_Client_BN,0.02901084479194216
34,2022.0_105_Client_BS,0.08520139760042816
35,2022.0_105_Client_BW,0.33143301316130813
26,2022.0_105_Client_K,0.05232775066917534
21,2022.0_106_Client_AU,0.6228456999776995
25,2022.0_113_Client_K,0.010459874242135955
21,2022.0_129_Client_P,0.07010499041749976
22,2022.0_135_Client_AU,0.10136265452444126
23,2022.0_13_Client_K,0.029546790570978074
32,2022.0_169_Client_AU,0.09718940727601838
30,2022.0_173_Client_AU,0.02378100562270811
30,2022.0_179_Client_K,0.014413904085794928
32,2022.0_17_Client_P,5.221608493771095e-4
26,2022.0_197_Client_K,0.030153032488547792
28,2022.0_200_Client_S,0.3720601725243658
29,2022.0_201_Client_K,0.07471352187730772
28,2022.0_28_Client_S,0.359917259550988
39,2022.0_52_Client_S,0.1627500167902158
27,2022.0_53_Client_BY,0.8217727079892118
24,2022.0_56_Client_K,0.8118181849185608
44,2022.0_56_Client_P,0.013614860808558456
22,2022.0_5_Client_AU,0.05515350893858389
33,2022.0_74_Client_K,0.05203655335709811
34,2022.0_7_Client_K,0.8570796213161973
32,2022.0_85_Client_P,0.13672342633666368
27,2022.0_98_Client_AY,0.18677776588704692
