size,zone,r2
31,2023.0_100_Client_H,0.07280597188387472
29,2023.0_101_Client_H,0.493085591073783
34,2023.0_102_Client_H,0.10196527198866008
24,2023.0_103_Client_H,0.0012224122024443972
23,2023.0_104_Client_H,0.32237597412643043
23,2023.0_105_Client_H,0.05605504394220272
24,2023.0_108_Client_H,0.25110813101624924
24,2023.0_109_Client_H,0.16214404059099555
36,2023.0_10_Client_H,0.025696087557870406
28,2023.0_110_Client_H,0.024991799589569205
29,2023.0_111_Client_O,0.0016967724468037728
26,2023.0_112_Client_H,0.009159934433080365
24,2023.0_113_Client_H,0.0785312546393543
32,2023.0_114_Client_H,0.08419280817181786
24,2023.0_115_Client_H,0.016126252193770882
27,2023.0_116_Client_O,0.012435812551233294
28,2023.0_117_Client_H,0.06343648766938931
32,2023.0_118_Client_H,0.12180223662058152
28,2023.0_119_Client_H,0.21420742650858804
30,2023.0_120_Client_H,0.015301385763905039
24,2023.0_121_Client_O,0.01665305961023259
29,2023.0_123_Client_H,0.0665550513004091
39,2023.0_124_Client_H,0.001049681707185044
34,2023.0_126_Client_H,0.4143195166697477
21,2023.0_129_Client_H,0.23884990724241978
27,2023.0_12_Client_H,4.641837245780196e-4
25,2023.0_130_Client_H,0.28240995182881695
33,2023.0_131_Client_H,0.11620448024032948
24,2023.0_132_Client_H,0.39526376212293995
28,2023.0_133_Client_O,0.04940182888336113
38,2023.0_134_Client_H,0.12499161208181839
35,2023.0_136_Client_H,0.09650159654038064
36,2023.0_137_Client_H,2.4194744194910458e-5
35,2023.0_138_Client_H,0.1870330040056876
34,2023.0_139_Client_H,0.13817669959199685
38,2023.0_13_Client_H,7.817901855563442e-5
37,2023.0_140_Client_H,0.20698479360188166
36,2023.0_141_Client_H,0.0721497423753627
32,2023.0_142_Client_H,0.1497583859339807
23,2023.0_143_Client_H,0.41252949101678094
33,2023.0_144_Client_H,0.2368488592641819
31,2023.0_145_Client_H,0.4626007776741016
23,2023.0_146_Client_O,0.05619643998768495
34,2023.0_148_Client_H,0.18162067062722587
29,2023.0_149_Client_H,0.13696388697890546
30,2023.0_15_Client_H,2.550790566889095e-4
