size,zone,r2
112,2024.0_100_Client_M,0.04279666425142247
24,2024.0_101_Client_M,0
24,2024.0_102_Client_M,0.0415269115944521
27,2024.0_104_Client_M,0
111,2024.0_105_Client_M,0.26445508126893635
27,2024.0_106_Client_M,0
100,2024.0_107_Client_M,0.6105557378369431
90,2024.0_110_Client_M,0.11405997127399865
24,2024.0_112_Client_M,0.3159244701323163
29,2024.0_114_Client_M,0.45350135222484106
28,2024.0_115_Client_M,0.9222958986457008
95,2024.0_117_Client_M,0.21417976746628367
27,2024.0_11_Client_M,0
32,2024.0_120_Client_M,0.1648984059434751
31,2024.0_122_Client_M,0.3681857309266149
29,2024.0_123_Client_M,0.10023554658040573
73,2024.0_124_Client_M,0.38806985217400725
31,2024.0_125_Client_M,0.5227683108176501
77,2024.0_127_Client_M,0.315767634210445
90,2024.0_128_Client_M,0.24679239567744712
41,2024.0_12_Client_M,8.824849365865345e-5
31,2024.0_15_Client_M,0.7212291259619997
29,2024.0_17_Client_M,0
27,2024.0_18_Client_M,0
29,2024.0_19_Client_M,0
27,2024.0_20_Client_M,0.415562686415873
29,2024.0_21_Client_M,0.41262870744054325
32,2024.0_24_Client_M,0.01892629026036717
31,2024.0_25_Client_M,0.01735689297588903
47,2024.0_26_Client_M,0.47353609091070736
29,2024.0_27_Client_M,0
65,2024.0_28_Client_M,0.14358289068131333
25,2024.0_2_Client_M,0.5095357367020268
22,2024.0_31_Client_M,0.5764564716424339
22,2024.0_32_Client_M,0.10617921320721546
23,2024.0_33_Client_M,0.5990991638433878
81,2024.0_34_Client_M,0.3409752046391091
39,2024.0_35_Client_M,0.3348916971988418
30,2024.0_39_Client_M,0.19362227177352243
66,2024.0_3_Client_M,0.26076026677716696
96,2024.0_40_Client_M,0.4624176867439285
84,2024.0_42_Client_M,0.3061573859650396
90,2024.0_44_Client_M,0.10881421299234223
45,2024.0_45_Client_M,0.5872114249215894
23,2024.0_47_Client_M,0.03487728608247255
62,2024.0_4_Client_M,0.3143757795770857
24,2024.0_50_Client_M,0.0024154653090880033
87,2024.0_52_Client_M,0.32253242968743423
31,2024.0_54_Client_M,0.40275999230150605
23,2024.0_55_Client_M,0.17665055273851957
31,2024.0_57_Client_M,0.7141372433012644
33,2024.0_58_Client_M,0.01467924774936334
26,2024.0_59_Client_M,0.5057157231940241
44,2024.0_5_Client_M,0.11021972227820839
34,2024.0_60_Client_M,0.1722662693442288
30,2024.0_61_Client_M,0.3552538181718154
24,2024.0_63_Client_M,0.20815132688479937
28,2024.0_64_Client_M,0.3731655971466428
26,2024.0_65_Client_M,0.8302738164840836
50,2024.0_66_Client_M,0.19735754717793286
47,2024.0_67_Client_M,0.11915769227745242
145,2024.0_68_Client_M,0.28909817717438463
29,2024.0_69_Client_M,0
37,2024.0_6_Client_M,0.4394945932799831
50,2024.0_71_Client_M,0.1809387532936333
49,2024.0_72_Client_M,0.09901039123904633
81,2024.0_73_Client_M,0.3764357886409079
52,2024.0_74_Client_M,0.015714373174168322
39,2024.0_77_Client_M,0.35183788467952287
30,2024.0_78_Client_M,0
76,2024.0_79_Client_M,0.16714962857275623
31,2024.0_7_Client_M,0.13712424603099282
67,2024.0_81_Client_M,0.0772009982111932
60,2024.0_83_Client_M,0.4077299146172149
100,2024.0_84_Client_M,0.10671165131339669
45,2024.0_85_Client_M,0.2979266629238925
22,2024.0_87_Client_M,0.3558858268650733
88,2024.0_88_Client_M,0.2033977997651289
32,2024.0_89_Client_M,0
89,2024.0_90_Client_M,0.6632403826797143
34,2024.0_91_Client_M,0.24488830820732604
49,2024.0_92_Client_M,0.44533865146573454
119,2024.0_93_Client_M,0.08791778211079862
30,2024.0_94_Client_M,0
20,2024.0_97_Client_M,0.41869911939632587
28,2024.0_98_Client_M,0.7258731031403759
27,2024.0_99_Client_M,0.10164200047694068
